id1,id2,score,is_correct,classification
playtime_39627,sales_8677,0.8,,
playtime_166,sales_7180,0.7999999999999999,,
playtime_167,sales_7180,0.7999999999999999,,
playtime_168,sales_7180,0.7999999999999999,,
playtime_169,sales_7180,0.7999999999999999,,
playtime_170,sales_7180,0.7999999999999999,,
playtime_171,sales_7180,0.9,,
playtime_172,sales_7180,0.7999999999999999,,
playtime_174,sales_530,0.8999999999999999,,
playtime_174,sales_3204,0.8999999999999999,,
playtime_175,sales_530,0.8999999999999999,,
playtime_175,sales_3204,0.8999999999999999,,
playtime_176,sales_530,0.8999999999999999,,
playtime_176,sales_3204,0.8999999999999999,,
playtime_177,sales_1416,0.7,,
playtime_182,sales_14077,1.0,,
playtime_192,sales_12416,0.7,,
playtime_199,sales_15825,1.0,,
playtime_204,sales_10001,1.0,,
playtime_33046,sales_9464,1.0,,
playtime_225,sales_2715,0.7,,
playtime_226,sales_2715,0.8,,
playtime_227,sales_434,0.9,,
playtime_228,sales_2340,0.7,,
playtime_230,sales_1045,0.8500000000000001,,
playtime_231,sales_1045,0.7833333333333334,,
playtime_232,sales_2037,0.8,,
playtime_233,sales_2089,0.7,,
playtime_234,sales_3919,0.8,,
playtime_235,sales_2763,0.7,,
playtime_235,sales_4020,0.7,,
playtime_236,sales_2763,0.8,,
playtime_236,sales_4020,0.7,,
playtime_237,sales_2763,0.7,,
playtime_237,sales_4020,0.8,,
playtime_238,sales_2763,0.8,,
playtime_238,sales_4020,0.8,,
playtime_238,sales_6801,0.8,,
playtime_239,sales_6013,0.7,,
playtime_35607,sales_16362,0.9,,
playtime_23359,sales_3968,0.7,,
playtime_23360,sales_3968,0.8,,
playtime_60983,sales_15474,0.8999999999999999,,
playtime_60984,sales_15474,0.8999999999999999,,
playtime_274,sales_13548,0.8,,
playtime_275,sales_2924,0.8,,
playtime_276,sales_3114,0.8,,
playtime_278,sales_4805,0.8,,
playtime_283,sales_9585,0.7666666666666666,,
playtime_284,sales_9585,0.7666666666666666,,
playtime_293,sales_1972,0.8999999999999999,,
playtime_294,sales_1972,0.8999999999999999,,
playtime_295,sales_1972,0.8999999999999999,,
playtime_296,sales_1972,0.8999999999999999,,
playtime_297,sales_1972,1.0,,
playtime_21858,sales_9009,0.9,,
playtime_21858,sales_11424,0.7999999999999999,,
playtime_21858,sales_13210,0.7999999999999999,,
playtime_21858,sales_14104,0.7999999999999999,,
playtime_21859,sales_9009,0.7999999999999999,,
playtime_21859,sales_11424,0.7999999999999999,,
playtime_21859,sales_13210,0.7999999999999999,,
playtime_21859,sales_14104,0.7999999999999999,,
playtime_21860,sales_9009,0.7999999999999999,,
playtime_21860,sales_11424,0.7999999999999999,,
playtime_21860,sales_13210,0.9,,
playtime_21860,sales_14104,0.7999999999999999,,
playtime_21861,sales_9009,0.7999999999999999,,
playtime_21861,sales_11424,0.7999999999999999,,
playtime_21861,sales_13210,0.7999999999999999,,
playtime_21861,sales_14104,0.7999999999999999,,
playtime_21862,sales_9009,0.7999999999999999,,
playtime_21862,sales_11424,0.9,,
playtime_21862,sales_13210,0.7999999999999999,,
playtime_21862,sales_14104,0.7999999999999999,,
playtime_36848,sales_10434,0.7,,
playtime_36848,sales_10883,0.7,,
playtime_36848,sales_11184,0.7,,
playtime_36848,sales_11779,0.7,,
playtime_36848,sales_12884,0.7,,
playtime_36848,sales_13125,0.7,,
playtime_36849,sales_10434,0.8,,
