id1,id2,is_true_match,classification
playtime_137,sales_9543,,
playtime_137,sales_15381,,
playtime_137,sales_5656,,
playtime_137,sales_13144,,
playtime_137,sales_7595,,
playtime_137,sales_13904,,
playtime_137,sales_4220,,
playtime_137,sales_2080,,
playtime_137,sales_12161,,
playtime_138,sales_12856,,
playtime_138,sales_11560,,
playtime_138,sales_16546,,
playtime_138,sales_7994,,
playtime_145,sales_9277,True,TP
playtime_145,sales_9642,,
playtime_145,sales_7311,,
playtime_145,sales_15984,,
playtime_145,sales_8596,,
playtime_145,sales_15264,,
playtime_145,sales_3115,,
playtime_145,sales_15854,,
playtime_145,sales_12119,,
playtime_145,sales_3106,,
playtime_146,sales_7582,,
playtime_146,sales_9618,,
playtime_146,sales_2464,,
playtime_146,sales_3155,,
playtime_146,sales_4986,,
playtime_146,sales_9277,,
playtime_146,sales_1817,,
playtime_146,sales_1063,,
playtime_146,sales_3268,,
playtime_146,sales_3764,,
playtime_147,sales_9618,,
playtime_147,sales_7582,,
playtime_147,sales_4986,,
playtime_147,sales_2464,,
playtime_147,sales_3764,,
playtime_147,sales_10321,,
playtime_147,sales_5085,,
playtime_147,sales_9277,,
playtime_147,sales_1063,,
playtime_147,sales_3155,,
playtime_148,sales_2705,,
playtime_148,sales_765,,
playtime_148,sales_639,,
playtime_148,sales_156,,
playtime_148,sales_97,,
playtime_148,sales_939,,
playtime_148,sales_2467,,
playtime_148,sales_1188,,
playtime_148,sales_23,,
playtime_148,sales_278,,
playtime_149,sales_15856,,
playtime_149,sales_15123,,
playtime_149,sales_10780,,
playtime_149,sales_9157,,
playtime_150,sales_6191,,
playtime_150,sales_13039,,
playtime_150,sales_15123,,
playtime_150,sales_16586,,
playtime_150,sales_15442,,
playtime_150,sales_7266,,
playtime_150,sales_4195,,
playtime_150,sales_8131,,
playtime_150,sales_480,,
playtime_150,sales_15354,,
playtime_151,sales_13404,,
playtime_151,sales_3454,,
playtime_151,sales_14409,,
playtime_151,sales_13193,,
playtime_153,sales_15829,,
playtime_154,sales_4542,,
playtime_155,sales_4542,,
playtime_155,sales_8796,,
playtime_155,sales_9862,,
playtime_155,sales_11923,,
playtime_155,sales_11810,,
playtime_155,sales_11762,,
playtime_155,sales_2455,,
playtime_155,sales_15711,,
playtime_155,sales_8575,,
playtime_155,sales_14051,,
playtime_156,sales_4542,,
playtime_157,sales_4542,,
playtime_158,sales_4542,,
playtime_159,sales_4542,,
playtime_159,sales_8301,,
playtime_162,sales_10951,,
playtime_162,sales_16578,,
playtime_162,sales_13631,,
playtime_162,sales_766,,
playtime_162,sales_15123,,
playtime_162,sales_9109,,
playtime_162,sales_5842,,
playtime_162,sales_16164,,
playtime_162,sales_15709,,
playtime_162,sales_14448,,
playtime_163,sales_15354,,
playtime_166,sales_7180,,
playtime_166,sales_5413,,
playtime_167,sales_7180,,
playtime_168,sales_7180,,
playtime_168,sales_7357,,
playtime_168,sales_488,,
playtime_168,sales_5090,,
playtime_168,sales_1603,,
playtime_168,sales_3233,,
playtime_168,sales_5137,,
playtime_168,sales_2186,,
playtime_168,sales_6653,,
playtime_168,sales_3489,,
playtime_169,sales_7180,,
playtime_169,sales_7357,,
playtime_169,sales_13071,,
playtime_169,sales_13378,,
playtime_169,sales_539,,
playtime_169,sales_488,,
playtime_169,sales_10187,,
playtime_170,sales_7180,,
playtime_170,sales_10407,,
playtime_170,sales_4733,,
playtime_170,sales_7357,,
playtime_170,sales_3989,,
playtime_170,sales_13978,,
playtime_170,sales_15933,,
playtime_170,sales_4179,,
playtime_170,sales_16323,,
playtime_170,sales_2736,,
playtime_171,sales_7180,,
playtime_171,sales_2130,,
playtime_171,sales_8031,,
playtime_171,sales_1630,,
playtime_171,sales_10253,,
playtime_171,sales_902,,
playtime_171,sales_4192,,
playtime_171,sales_9166,,
playtime_171,sales_12022,,
playtime_171,sales_9776,,
playtime_172,sales_7180,,
playtime_172,sales_8727,,
playtime_172,sales_13859,,
playtime_173,sales_7180,,
playtime_173,sales_8031,,
playtime_174,sales_3204,,
playtime_174,sales_530,,
playtime_174,sales_10713,,
playtime_174,sales_2618,,
playtime_174,sales_47,,
playtime_174,sales_60,,
playtime_174,sales_510,,
playtime_174,sales_12222,,
playtime_174,sales_97,,
playtime_174,sales_23,,
playtime_175,sales_530,,
playtime_175,sales_3204,,
playtime_175,sales_15135,,
playtime_175,sales_282,,
playtime_175,sales_13563,,
playtime_175,sales_15768,,
playtime_175,sales_15913,,
playtime_176,sales_530,,
playtime_176,sales_2492,,
playtime_176,sales_3204,,
playtime_176,sales_12842,,
playtime_176,sales_15792,,
playtime_176,sales_5336,,
playtime_176,sales_6189,,
playtime_176,sales_4670,,
playtime_176,sales_11835,,
playtime_176,sales_4354,,
playtime_177,sales_1416,,
playtime_177,sales_4832,,
playtime_177,sales_5809,,
playtime_177,sales_3968,,
playtime_177,sales_2492,,
playtime_177,sales_15577,,
playtime_177,sales_4564,,
playtime_177,sales_9356,,
playtime_177,sales_10966,,
playtime_177,sales_13766,,
playtime_182,sales_14077,,
playtime_182,sales_11370,,
playtime_182,sales_6545,,
playtime_182,sales_6634,,
playtime_182,sales_311,,
playtime_182,sales_3155,,
playtime_182,sales_14703,,
playtime_182,sales_243,,
playtime_182,sales_1213,,
playtime_182,sales_3879,,
playtime_189,sales_2350,,
playtime_189,sales_5098,,
playtime_190,sales_2350,,
playtime_190,sales_5098,,
playtime_192,sales_12416,,
playtime_192,sales_12400,,
playtime_192,sales_12548,,
playtime_192,sales_480,,
playtime_192,sales_7266,,
playtime_192,sales_7134,,
playtime_192,sales_3155,,
playtime_192,sales_8131,,
playtime_192,sales_15418,,
playtime_192,sales_9109,,
playtime_194,sales_9848,,
playtime_194,sales_1722,,
playtime_194,sales_1344,,
playtime_194,sales_6319,,
playtime_194,sales_5318,,
playtime_194,sales_10981,,
playtime_194,sales_6834,,
playtime_194,sales_10886,,
playtime_194,sales_16007,,
playtime_194,sales_1603,,
playtime_195,sales_13466,,
playtime_196,sales_5787,,
playtime_196,sales_10692,,
playtime_196,sales_14855,,
playtime_196,sales_1487,,
playtime_196,sales_9753,,
playtime_196,sales_10101,,
playtime_199,sales_15825,,
playtime_199,sales_11504,,
playtime_199,sales_12683,,
playtime_199,sales_11087,,
playtime_202,sales_9200,,
playtime_202,sales_14331,,
playtime_202,sales_16394,,
playtime_202,sales_9971,,
playtime_202,sales_8262,,
playtime_202,sales_16172,,
playtime_202,sales_15829,,
playtime_202,sales_13991,,
playtime_202,sales_6299,,
playtime_202,sales_15790,,
playtime_203,sales_8693,,
playtime_203,sales_3178,,
