id1,id2
playtime_90,metacritic_3602
playtime_90,metacritic_3753
playtime_90,metacritic_4939
playtime_90,metacritic_638
playtime_90,metacritic_3403
playtime_90,metacritic_5051
playtime_90,metacritic_4819
playtime_90,metacritic_4783
playtime_90,metacritic_5084
playtime_91,metacritic_3753
playtime_91,metacritic_3602
playtime_91,metacritic_638
playtime_91,metacritic_4819
playtime_91,metacritic_7290
playtime_91,metacritic_4939
playtime_91,metacritic_1750
playtime_91,metacritic_5909
playtime_91,metacritic_4787
playtime_92,metacritic_3753
playtime_92,metacritic_4819
playtime_92,metacritic_3602
playtime_92,metacritic_4787
playtime_92,metacritic_5046
playtime_92,metacritic_5043
playtime_92,metacritic_638
playtime_92,metacritic_3391
playtime_92,metacritic_8617
playtime_92,metacritic_13923
playtime_93,metacritic_11609
playtime_93,metacritic_14606
playtime_93,metacritic_3641
playtime_93,metacritic_5311
playtime_93,metacritic_5696
playtime_93,metacritic_1973
playtime_93,metacritic_11849
playtime_93,metacritic_3312
playtime_93,metacritic_3273
playtime_93,metacritic_1088
playtime_94,metacritic_14614
playtime_94,metacritic_9433
playtime_94,metacritic_5336
playtime_94,metacritic_14024
playtime_94,metacritic_6686
playtime_94,metacritic_3346
playtime_94,metacritic_9547
playtime_94,metacritic_6981
playtime_94,metacritic_14606
playtime_94,metacritic_55
playtime_95,metacritic_14606
playtime_95,metacritic_10740
playtime_95,metacritic_11609
playtime_95,metacritic_1901
playtime_95,metacritic_12984
playtime_95,metacritic_3312
playtime_95,metacritic_14614
playtime_95,metacritic_1973
playtime_95,metacritic_1821
playtime_95,metacritic_13562
playtime_96,metacritic_14614
playtime_96,metacritic_14606
playtime_96,metacritic_2544
playtime_96,metacritic_9433
playtime_96,metacritic_4385
playtime_96,metacritic_12053
playtime_96,metacritic_10969
playtime_96,metacritic_9894
playtime_96,metacritic_6846
playtime_96,metacritic_4885
playtime_97,metacritic_12472
playtime_97,metacritic_12033
playtime_97,metacritic_241
playtime_97,metacritic_244
playtime_97,metacritic_12499
playtime_97,metacritic_7665
playtime_97,metacritic_4490
playtime_97,metacritic_2783
playtime_97,metacritic_263
playtime_97,metacritic_5607
playtime_98,metacritic_12033
playtime_98,metacritic_12472
playtime_98,metacritic_260
playtime_98,metacritic_250
playtime_98,metacritic_241
playtime_98,metacritic_6236
playtime_98,metacritic_7345
playtime_98,metacritic_4457
playtime_98,metacritic_12499
playtime_98,metacritic_2542
playtime_101,metacritic_10156
playtime_101,metacritic_13737
playtime_101,metacritic_178
playtime_101,metacritic_11683
playtime_101,metacritic_8545
playtime_101,metacritic_896
playtime_101,metacritic_9
playtime_101,metacritic_1462
playtime_101,metacritic_6260
playtime_101,metacritic_11494
